ticker,model,cumulative_return,sharpe_ratio,max_drawdown
AAPL,lstm,0.20068492902440105,2.0275810370913723,-0.026170441487193035
AAPL,gru,0.11634004921981611,0.951693083050247,-0.08879566482389802
AAPL,transformer,0.3042791727054439,1.7613109372397737,-0.11514878219514495
AAPL,ensemble,0.3042791727054439,1.7613109372397737,-0.11514878219514495
AAPL,buy_and_hold,0.5393779423449063,2.1938687049701238,-0.15047084763448354
MSFT,lstm,0.27343260441913975,2.3000426834607706,-0.050538515958626525
MSFT,gru,0.12388488619507343,0.9746928160877366,-0.10246171690720755
MSFT,transformer,0.3989745592778138,1.9974649891228535,-0.0715227470494387
MSFT,ensemble,0.3989745592778138,1.9974649891228535,-0.0715227470494387
MSFT,buy_and_hold,0.5695801221760328,1.8656261696975058,-0.13171430880472335
NVDA,lstm,0.9315556072650142,1.8274772656728584,-0.14791412970324394
NVDA,gru,1.287646200725908,2.2673182802922938,-0.10994469528025182
NVDA,transformer,0.4012093997108739,1.0015635532916414,-0.2859671408741764
NVDA,ensemble,0.4260420569043135,1.0690696645344089,-0.27313687365508854
NVDA,buy_and_hold,2.4594481879687815,2.7933566221129005,-0.18293991312646152
TSLA,lstm,0.372661248368773,1.2835125143141437,-0.20090965071029007
TSLA,gru,1.533008807477784,2.5795803305414267,-0.1892217714652263
TSLA,transformer,0.6122782398585984,1.3203423304011543,-0.3410093253935506
TSLA,ensemble,0.6122782398585984,1.3203423304011543,-0.3410093253935506
TSLA,buy_and_hold,1.2986123888523893,1.8289154653280286,-0.3271970986765207
SPY,lstm,-0.01532957392772405,-0.9812879042642009,-0.054344330335856776
SPY,gru,0.05579590546928603,0.9545223295155368,-0.017046497325513884
SPY,transformer,0.20336680087953218,1.815294587955675,-0.05477493164337436
SPY,ensemble,0.20336680087953218,1.815294587955675,-0.05477493164337436
SPY,buy_and_hold,0.2481224421434569,1.6169176913669023,-0.10290747938968624
QQQ,lstm,0.11006317907393792,1.6140915604840482,-0.02458556870346827
QQQ,gru,-0.024617798563597137,-0.7287032073909396,-0.08110943666620254
QQQ,transformer,0.491871090427876,2.932210592728054,-0.08467211281479381
QQQ,ensemble,0.491871090427876,2.932210592728054,-0.08467211281479381
QQQ,buy_and_hold,0.5483967483457237,2.4587954737740323,-0.10908899164615449
VOO,lstm,0.06462814049124543,1.1308319387499348,-0.016581510336390045
VOO,gru,0.03412092390651833,0.3487204731982914,-0.029597997734841935
VOO,transformer,0.24885494652348505,2.4106959625114537,-0.053441222682862846
VOO,ensemble,0.24885494652348505,2.4106959625114537,-0.053441222682862846
VOO,buy_and_hold,0.24803565810685146,1.6305242339200283,-0.10307118500161125
AMZN,lstm,0.04782997907394426,0.28976624068652995,-0.11823660433800443
AMZN,gru,0.05462192735415261,0.3095812329786174,-0.18303423343721395
AMZN,transformer,0.21254640171208972,0.8042323023446164,-0.1520697575192849
AMZN,ensemble,0.21254640171208972,0.8042323023446164,-0.1520697575192849
AMZN,buy_and_hold,0.7704498133500899,1.8594995947715607,-0.1964396385244206
GOOGL,lstm,0.10610211295549044,0.6131530517978022,-0.12970598991414134
GOOGL,gru,-0.021260300901995155,-0.38009708294141,-0.053230524169890096
GOOGL,transformer,0.4579403583978965,1.6690625191994517,-0.11787123205055054
GOOGL,ensemble,0.4579403583978965,1.6690625191994517,-0.11787123205055054
GOOGL,buy_and_hold,0.567437142463106,1.586861892519458,-0.172730656945833
META,lstm,0.21448259815007065,1.2299203500410856,-0.10335395463891009
META,gru,-0.0057311833304188875,-0.20654330790742298,-0.10677666127493443
META,transformer,1.0706070339787548,2.368068583979791,-0.09485633590253423
META,ensemble,1.0706070339787548,2.368068583979791,-0.09485633590253423
META,buy_and_hold,1.8375821510085584,2.7982646169874466,-0.12974686481776582
