date,ticker,model,actual_return,predicted_return,pred_lower_return,pred_upper_return,actual_price,reconstructed_price,actual,predicted,pred_lower,pred_upper,mae,rmse,mape,directional_accuracy,interval_coverage
2023-01-03,AAPL,lstm,-0.03812220940337041,0.004102879203855991,-0.019448937848210335,0.029227619990706444,200.5759770243939,209.2266645898344,200.5759770243939,209.2266645898344,204.35658011185296,214.55002280177723,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-04,AAPL,lstm,0.010261402643368283,0.005401536822319031,-0.022675327956676483,0.031079251319169998,202.6447640606584,210.35986860639764,202.6447640606584,210.35986860639764,199.77487126958061,221.32276969709343,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-05,AAPL,lstm,-0.010661283111650382,0.006429241970181465,-0.01733497530221939,0.03179489076137543,200.4957866431274,211.7166766788237,200.4957866431274,211.7166766788237,196.34162647296637,228.4727605642209,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-06,AAPL,lstm,0.036133357676866824,0.004962653387337923,-0.017651958391070366,0.02917923592031002,207.87284901227156,212.7699589478053,207.87284901227156,212.7699589478053,192.906224727266,235.237629753028,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-09,AAPL,lstm,0.004080529215203643,0.004680421203374863,-0.015618129633367062,0.026024028658866882,208.72281321822499,213.768139929016,208.72281321822499,213.768139929016,189.9167973940591,241.43981989114232,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-10,AAPL,lstm,0.004446510347639705,0.003928124438971281,-0.016339749097824097,0.024127431213855743,209.6529678054449,214.6094915463399,209.6529678054449,214.6094915463399,186.83881970420734,247.33598731050913,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-11,AAPL,lstm,0.020892514925815384,0.0009826120221987367,-0.023102883249521255,0.02507159113883972,214.07922235639947,214.82047821740412,214.07922235639947,214.82047821740412,182.57178426048148,253.61547188786312,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-12,AAPL,lstm,-0.0005994891772679897,0.005186913069337606,-0.0174485445022583,0.029681019484996796,213.95092264050686,215.93762763501383,213.95092264050686,215.93762763501383,179.41380207675044,261.2558551746575,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-13,AAPL,lstm,0.010068257135029462,0.007796264719218016,-0.018370579928159714,0.03423178195953369,216.11591611068934,217.6277036216825,216.11591611068934,217.6277036216825,176.14796111376677,270.35395723358283,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-17,AAPL,lstm,0.008718252102151425,0.0038221266586333513,-0.021969545632600784,0.02727103978395462,218.00830633176943,218.46110438986037,218.00830633176943,218.46110438986037,172.32027540671479,277.8282447003317,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-18,AAPL,lstm,-0.005384454852158148,0.0070122117176651955,-0.01673627272248268,0.029662564396858215,216.83760507141884,219.99837261493764,216.83760507141884,219.99837261493764,169.46028045837085,286.1927924703899,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-19,AAPL,lstm,0.0004436376600177206,0.0035507685970515013,-0.02362903021275997,0.031605884432792664,216.9338237406711,220.7809257441883,216.9338237406711,220.7809257441883,165.50303942395004,295.38264081602654,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-20,AAPL,lstm,0.019038364081683426,0.006295634433627129,-0.01842271164059639,0.031188923865556717,221.1034543891718,222.175261000297,221.1034543891718,222.175261000297,162.48194004550348,304.74046494220124,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-23,AAPL,lstm,0.023228555627554673,0.004795209039002657,-0.021987084299325943,0.032595958560705185,226.29948276481335,223.24320348539752,226.29948276481335,223.24320348539752,158.94842705280897,314.8374398903733,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-24,AAPL,lstm,0.010012762907375555,0.005739201325923204,-0.020174019038677216,0.03081590309739113,228.5767476629026,224.52811611341423,228.5767476629026,224.52811611341423,155.77392382784805,324.6904844696527,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-25,AAPL,lstm,-0.004711835225971918,0.005193990655243397,-0.018626820296049118,0.02875925600528717,227.50226507180426,225.69735494592356,227.50226507180426,225.69735494592356,152.89920446725597,334.1639239420182,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-26,AAPL,lstm,0.014694869771428311,0.005620150361210108,-0.018236473202705383,0.02951175346970558,230.87006531964633,226.96938000027507,230.87006531964633,226.96938000027507,150.13613624382722,344.1726589095217,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-27,AAPL,lstm,0.0135914746418463,0.0049554407596588135,-0.024009935557842255,0.03159434720873833,234.02935099966064,228.09689340933787,234.02935099966064,228.09689340933787,146.57430361580498,355.22017797688227,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-30,AAPL,lstm,-0.0202823742298003,0.006640576291829348,-0.018764181062579155,0.0354660302400589,229.33049319960372,229.61664060333493,229.33049319960372,229.61664060333493,143.84959604128946,368.04448394994967,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-01-31,AAPL,lstm,0.008980486518885233,0.0070159244351089,-0.01941310614347458,0.03265918418765068,231.39926800053388,231.23328408109353,231.39926800053388,231.23328408109353,141.08395875377465,380.26295598324214,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-01,AAPL,lstm,0.007869704048322388,0.0064226300455629826,-0.018925799056887627,0.030282823368906975,233.22749612833334,232.72318073672258,233.22749612833334,232.72318073672258,138.4389439878816,391.9545144105013,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-02,AAPL,lstm,0.036392300510034066,0.008667423389852047,-0.016134850680828094,0.031990598887205124,241.87151513308342,234.74906841082995,241.87151513308342,234.74906841082995,136.2231737508357,404.69608444299917,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-03,AAPL,lstm,0.024106975000651183,0.007582574617117643,-0.022258222103118896,0.03149901330471039,247.77315524013127,236.5358360448597,247.77315524013127,236.5358360448597,133.22458117115943,417.64648187672236,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-06,AAPL,lstm,-0.018091498958964447,0.004959867335855961,-0.020248454064130783,0.033098604530096054,243.33087240119087,237.71194413352364,243.33087240119087,237.71194413352364,130.55412060430876,431.7012987062074,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-07,AAPL,lstm,0.0190618622856037,0.00931192934513092,-0.014714790508151054,0.032539092004299164,248.01370191326197,239.93584059687666,248.01370191326197,239.93584059687666,128.647107180865,445.9794995974806,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-08,AAPL,lstm,-0.017810405213165126,0.004410186782479286,-0.02087528072297573,0.026531929150223732,243.6355811676022,240.99633849614796,243.6355811676022,240.99633849614796,125.9893981365408,457.9705768103762,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-09,AAPL,lstm,-0.0069355479636618615,0.0032865137327462435,-0.02120615728199482,0.028293563053011894,241.95168104368116,241.78968989456484,241.95168104368116,241.78968989456484,123.34578004259727,471.11323777001246,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-10,AAPL,lstm,0.0009275169239235722,0.00830389466136694,-0.017329806461930275,0.03275512903928757,242.17619942882604,243.80584146926532,242.17619942882604,243.80584146926532,121.22663757073195,486.80014906374794,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-13,AAPL,lstm,0.01863211802837362,0.008060326799750328,-0.011651136912405491,0.03285517543554306,246.7307536956732,245.77893294828849,246.7307536956732,245.77893294828849,119.82240795844953,503.05970885790265,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
2023-02-14,AAPL,lstm,-0.004233904053509201,0.008918480016291142,-0.014762256294488907,0.0323682501912117,245.68832768054654,247.9807041185706,245.68832768054654,247.9807041185706,118.06655412688505,519.6092816445185,0.010363832093989164,0.013509068649518768,69612792187.35194,0.5060240963855421,0.932
